,precision,recall,f1-score,support
0,0.9230769230769231,1.0,0.96,48.0
1,1.0,0.9130434782608695,0.9545454545454546,46.0
accuracy,0.9574468085106383,0.9574468085106383,0.9574468085106383,0.9574468085106383
macro avg,0.9615384615384616,0.9565217391304348,0.9572727272727273,94.0
weighted avg,0.9607201309328969,0.9574468085106383,0.9573307543520311,94.0
